Fill (Заполнение),5120000,0,9999
Audio1.mp3 (1),526336,10000,11027
Audio2.wav (1),2306048,11028,15531
Audio1.mp3 (2),526371,15532,16560
Audio2.wav (2),2306604,16561,21066
Fill (Заполнение),5120000,21067,31066
Audio3.au (1),3081216,31067,37084
Audio4.wma (1),357888,37085,37783
Audio3.au (2),3081216,37784,43801
Audio4.wma (2),357888,43802,44500
Audio3.au (3),3081240,44501,50519
Audio4.wma (3),359211,50520,51221
